"","dateid","social_mentions","volume_sentiment_positive","volume_sentiment_neutral","volume_sentiment_negative","NPS","SALT","BFV","nps.scale","salt.scale","bfv.scale"
"1",2018-12-23,17359,2805,11115,3439,-3.7,-10.2,-634,-0.812261687698207,-0.857698771090251,-0.768243838197484
"2",2018-12-24,17639,3385,11538,2716,3.8,11,669,1.00377054089535,1.23889822490814,0.951053364220275
"3",2018-12-25,18462,5588,10099,2775,15.2,33.6,2813,3.76413952835754,3.4739497395102,3.78004277479869
"4",2018-12-26,18738,3890,11408,3440,2.4,6.1,450,0.664777858224549,0.754307409795305,0.662084763046453
"5",2018-12-27,17370,2713,11042,3615,-5.2,-14.3,-902,-1.17546813341692,-1.26317271842956,-1.12186751451979
"6",2018-12-28,17540,2991,11082,3468,-2.7,-7.4,-477,-0.570124057219067,-0.580789733882916,-0.561083699456434
"7",2018-12-29,15861,2468,10156,3237,-4.8,-13.5,-769,-1.07861308122526,-1.18405585065604,-0.946375167688195
"8",2018-12-30,15762,3007,9870,2884,0.8,2.1,123,0.277357649457924,0.358723070927684,0.230611098280063
"9",2018-12-31,15468,2968,9514,2985,-0.1,-0.3,-17,0.0594337820266981,0.121372467607111,0.045882312141547
"10",2019-01-01,13269,2504,8174,2591,-0.7,-1.7,-87,-0.0858487962607861,-0.0170820509965564,-0.046482080927711
"11",2019-01-02,31591,2717,25690,3184,-1.5,-7.9,-467,-0.279558900644098,-0.630237776241369,-0.547888786160825
"12",2019-01-03,26002,3929,18615,3458,1.8,6.4,471,0.519495279937065,0.783976235210376,0.689794080967231
"13",2019-01-04,18095,2857,12182,3056,-1.1,-3.4,-199,-0.182703848452442,-0.185205395015295,-0.194265109838524
"14",2019-01-05,16203,2708,10548,2947,-1.5,-4.2,-239,-0.279558900644098,-0.26432226278882,-0.247044763020957
"15",2019-01-06,16613,3258,10270,3085,1,2.7,173,0.325785175553752,0.418060721757827,0.296585664758104
"16",2019-01-07,20239,3356,12904,3979,-3.1,-8.5,-623,-0.666979109410723,-0.689575427071512,-0.753729433572315
"17",2019-01-08,17390,3094,10759,3537,-2.5,-6.7,-443,-0.521696531123239,-0.511562474581083,-0.516220994251366
"18",2019-01-09,17432,2780,11331,3321,-3.1,-8.9,-541,-0.666979109410723,-0.729133860958274,-0.645531144548327
"19",2019-01-10,18432,2829,12654,2949,-0.7,-2.1,-120,-0.0858487962607861,-0.0566404848833185,-0.0900252948032183
"20",2019-01-11,20663,2980,14648,3035,-0.3,-0.9,-55,0.01100625593087,0.0620348167769679,-0.00425835838176449
"21",2019-01-12,16875,2295,12108,2472,-1,-3.7,-177,-0.158490085404528,-0.214874220430367,-0.165236300588185
"22",2019-01-13,15354,2467,10332,2555,-0.6,-1.8,-88,-0.061635033212872,-0.0269716594682469,-0.0478015722572718
