"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2022-01-01","2022","01","01","","3.8","","-3.8","","0.0","","18.0","","0.0","","","","","","0.0","","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2022-01-02","2022","01","02","","6.0","","0.7","","3.4","","14.6","","0.0","","","","","","12.2","","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2022-01-03","2022","01","03","","5.7","","2.6","","4.1","","13.9","","0.0","","","","","","10.0","","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2022-01-04","2022","01","04","","5.2","","0.4","","2.8","","15.2","","0.0","","","","","","19.3","","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2022-01-05","2022","01","05","","1.9","","-1.9","","0.0","","18.0","","0.0","","","","","","0.7","","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2022-01-06","2022","01","06","","5.3","","-1.6","","1.9","","16.1","","0.0","","","","","","27.3","","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2022-01-07","2022","01","07","","4.8","","3.0","","3.9","","14.1","","0.0","","","","","","14.3","","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2022-01-08","2022","01","08","","3.7","","1.0","","2.4","","15.6","","0.0","","","","","","8.7","","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2022-01-09","2022","01","09","","8.1","","1.1","","4.6","","13.4","","0.0","","","","","","0.0","","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2022-01-10","2022","01","10","","7.6","","2.3","","4.9","","13.1","","0.0","","","","","","7.6","","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2022-01-11","2022","01","11","","9.2","","6.9","","8.1","","9.9","","0.0","","","","","","27.4","","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2022-01-12","2022","01","12","","9.5","","7.0","","8.3","","9.7","","0.0","","","","","","44.6","","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2022-01-13","2022","01","13","","11.8","","6.5","","9.2","","8.8","","0.0","","","","","","0.0","","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2022-01-14","2022","01","14","","8.9","","6.7","","7.8","","10.2","","0.0","","","","","","0.0","","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2022-01-15","2022","01","15","","7.6","","5.6","","6.6","","11.4","","0.0","","","","","","0.3","","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2022-01-16","2022","01","16","","9.3","","4.8","","7.0","","11.0","","0.0","","","","","","0.0","","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2022-01-17","2022","01","17","","7.9","","5.1","","6.5","","11.5","","0.0","","","","","","0.9","","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2022-01-18","2022","01","18","","8.0","","5.6","","6.8","","11.2","","0.0","","","","","","4.9","","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2022-01-19","2022","01","19","","8.0","","6.1","","7.1","","10.9","","0.0","","","","","","7.3","","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2022-01-20","2022","01","20","","10.7","","5.1","","7.9","","10.1","","0.0","","","","","","19.7","","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2022-01-21","2022","01","21","","7.6","","5.5","","6.5","","11.5","","0.0","","","","","","0.0","","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2022-01-22","2022","01","22","","9.0","","2.7","","5.9","","12.1","","0.0","","","","","","0.0","","","","","M","","M"
