"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.18","49.20","VANCOUVER INT'L A","1108447","1980-01-01","1980","01","01","","8.3","","6.2","","7.3","","10.7","","0.0","","7.6","","0.0","","7.6","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1980-01-02","1980","01","02","","9.5","","2.9","","6.2","","11.8","","0.0","","4.4","","0.0","","4.4","","0","","13","","50",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1980-01-03","1980","01","03","","6.7","","2.4","","4.6","","13.4","","0.0","","1.0","","0.0","","1.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1980-01-04","1980","01","04","","4.9","","0.8","","2.9","","15.1","","0.0","","0.0","T","0.0","","0.0","T","0","","29","","43",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1980-01-05","1980","01","05","","5.1","","-2.5","","1.3","","16.7","","0.0","","0.0","T","0.2","","0.2","","0","","6","","33",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1980-01-06","1980","01","06","","0.6","","-5.1","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1980-01-07","1980","01","07","","-1.3","","-5.5","","-3.4","","21.4","","0.0","","0.0","","0.5","","0.5","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1980-01-08","1980","01","08","","-0.3","","-4.9","","-2.6","","20.6","","0.0","","0.0","","0.6","","0.6","","1","","12","","33",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1980-01-09","1980","01","09","","-4.4","","-6.8","","-5.6","","23.6","","0.0","","0.0","","2.5","","1.8","","2","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1980-01-10","1980","01","10","","-2.0","","-9.0","","-5.5","","23.5","","0.0","","0.0","","4.2","","3.0","","5","","8","","33",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1980-01-11","1980","01","11","","3.7","","-2.5","","0.6","","17.4","","0.0","","9.2","","2.9","","13.4","","9","","11","","41",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1980-01-12","1980","01","12","","8.4","","0.0","","4.2","","13.8","","0.0","","23.2","","0.0","","23.2","","0","T","25","","59",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1980-01-13","1980","01","13","","4.7","","-2.0","","1.4","","16.6","","0.0","","0.8","","0.0","T","0.8","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1980-01-14","1980","01","14","","6.3","","1.3","","3.8","","14.2","","0.0","","0.2","","0.0","","0.2","","0","","14","","35",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1980-01-15","1980","01","15","","9.0","","4.4","","6.7","","11.3","","0.0","","11.8","","0.0","","11.8","","0","","13","","46",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1980-01-16","1980","01","16","","7.5","","4.0","","5.8","","12.2","","0.0","","0.0","T","0.0","","0.0","T","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1980-01-17","1980","01","17","","4.7","","-1.4","","1.7","","16.3","","0.0","","0.2","","0.0","","0.2","","0","","29","","70",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1980-01-18","1980","01","18","","4.2","","-4.4","","-0.1","","18.1","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1980-01-19","1980","01","19","","4.0","","-5.4","","-0.7","","18.7","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1980-01-20","1980","01","20","","4.1","","-2.4","","0.9","","17.1","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1980-01-21","1980","01","21","","4.7","","-3.1","","0.8","","17.2","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1980-01-22","1980","01","22","","5.4","","-3.0","","1.2","","16.8","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1980-01-23","1980","01","23","","4.1","","-0.8","","1.7","","16.3","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1980-01-24","1980","01","24","","6.5","","1.8","","4.2","","13.8","","0.0","","0.2","","0.0","","0.2","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1980-01-25","1980","01","25","","6.4","","-2.0","","2.2","","15.8","","0.0","","0.4","","0.0","T","0.4","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1980-01-26","1980","01","26","","1.6","","-5.7","","-2.1","","20.1","","0.0","","0.0","","0.0","","0.0","","0","","8","","43",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1980-01-27","1980","01","27","","-0.5","","-9.3","","-4.9","","22.9","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1980-01-28","1980","01","28","","-1.4","","-10.1","","-5.8","","23.8","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1980-01-29","1980","01","29","","-1.6","","-11.1","","-6.4","","24.4","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1980-01-30","1980","01","30","","1.2","","-9.4","","-4.1","","22.1","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1980-01-31","1980","01","31","","5.2","","-3.3","","1.0","","17.0","","0.0","","14.5","","0.0","","14.5","","0","","8","","43",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1980-02-01","1980","02","01","","8.5","","2.5","","5.5","","12.5","","0.0","","24.3","","0.0","","24.3","","0","","7","","31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1980-02-02","1980","02","02","","11.3","","3.5","","7.4","","10.6","","0.0","","28.8","","0.0","","28.8","","0","","16","","43",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1980-02-03","1980","02","03","","9.4","","4.5","","7.0","","11.0","","0.0","","10.9","","0.0","","10.9","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1980-02-04","1980","02","04","","9.4","","0.9","","5.2","","12.8","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1980-02-05","1980","02","05","","8.0","","1.2","","4.6","","13.4","","0.0","","6.4","","0.0","","6.4","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1980-02-06","1980","02","06","","8.6","","5.3","","7.0","","11.0","","0.0","","6.0","","0.0","","6.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","1980-02-07","1980","02","07","","8.4","","4.7","","6.6","","11.4","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
