"Date.Time","Year","Month","Day","Data.Quality","Max.Temp..Â.C.","Max.Temp.Flag","Min.Temp..Â.C.","Min.Temp.Flag","Mean.Temp..Â.C.","Mean.Temp.Flag","Heat.Deg.Days..Â.C.","Heat.Deg.Days.Flag","Cool.Deg.Days..Â.C.","Cool.Deg.Days.Flag","Total.Rain..mm.","Total.Rain.Flag","Total.Snow..cm.","Total.Snow.Flag","Total.Precip..mm.","Total.Precip.Flag","Snow.on.Grnd..cm.","Snow.on.Grnd.Flag","Dir.of.Max.Gust..10s.deg.","Dir.of.Max.Gust.Flag","Spd.of.Max.Gust..km.h.","Spd.of.Max.Gust.Flag"
"1/01/98",1998,1,1,NA,8.7,"",3,"",5.9,"",12.1,"",0,"",NA,NA,NA,NA,5.6,"",NA,NA,NA,NA,NA,NA
"1/02/98",1998,1,2,NA,4.2,"",-1.1,"",1.6,"",16.4,"",0,"",NA,NA,NA,NA,0.6,"",NA,NA,NA,NA,NA,NA
"1/03/98",1998,1,3,NA,1.7,"",-2.2,"",-0.3,"",18.3,"",0,"",NA,NA,NA,NA,0.2,"",NA,NA,NA,NA,NA,NA
"1/04/98",1998,1,4,NA,2.8,"",-0.9,"",1,"",17,"",0,"",NA,NA,NA,NA,6,"",NA,NA,NA,NA,NA,NA
"1/05/98",1998,1,5,NA,5.7,"",2.3,"",4,"",14,"",0,"",NA,NA,NA,NA,6.2,"",NA,NA,NA,NA,NA,NA
"1/06/98",1998,1,6,NA,7,"",3.6,"",5.3,"",12.7,"",0,"",NA,NA,NA,NA,3.8,"",NA,NA,NA,NA,NA,NA
"1/07/98",1998,1,7,NA,7.3,"",4,"",5.7,"",12.3,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,NA,NA,NA
"1/08/98",1998,1,8,NA,7.9,"",1.3,"",4.6,"",13.4,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,NA,NA,NA
"1/09/98",1998,1,9,NA,4,"",0.3,"",2.2,"",15.8,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,NA,NA,NA
"1/10/98",1998,1,10,NA,3.4,"",-1.7,"",0.9,"",17.1,"",0,"",NA,NA,NA,NA,0.2,"",NA,NA,NA,NA,NA,NA
