Month,Season,Date,Year,Day,Max.Temp,Min.Temp,Mean.Temp,Total.Precip,Season.Yr,station
6,Summer,2013-06-13,2013,13,19.3,8.9,14.1,0,2013,VANCOUVER INTL A
6,Summer,2013-06-14,2013,14,18.3,11.5,14.9,0.4,2013,VANCOUVER INTL A
6,Summer,2013-06-15,2013,15,19.9,7.8,13.9,0,2013,VANCOUVER INTL A
6,Summer,2013-06-16,2013,16,22.4,13.2,17.8,0,2013,VANCOUVER INTL A
6,Summer,2013-06-17,2013,17,22.8,14.1,18.5,0,2013,VANCOUVER INTL A
6,Summer,2013-06-18,2013,18,19.9,13,16.5,0.4,2013,VANCOUVER INTL A
6,Summer,2013-06-19,2013,19,NA,NA,NA,NA,2013,VANCOUVER INTL A
6,Summer,2013-06-20,2013,20,15.9,12.5,14.2,13.4,2013,VANCOUVER INTL A
6,Summer,2013-06-21,2013,21,20,11.8,15.9,0.4,2013,VANCOUVER INTL A
6,Summer,2013-06-22,2013,22,22,13.8,17.9,0,2013,VANCOUVER INTL A
6,Summer,2013-06-23,2013,23,NA,NA,NA,NA,2013,VANCOUVER INTL A
6,Summer,2013-06-24,2013,24,18,14.4,16.2,14.6,2013,VANCOUVER INTL A
6,Summer,2013-06-25,2013,25,19.7,13.6,16.7,3.2,2013,VANCOUVER INTL A
6,Summer,2013-06-26,2013,26,20.6,13.9,17.3,3.8,2013,VANCOUVER INTL A
6,Summer,2013-06-27,2013,27,20.1,15.4,17.8,5.6,2013,VANCOUVER INTL A
6,Summer,2013-06-28,2013,28,20.4,15.2,17.8,NA,2013,VANCOUVER INTL A
6,Summer,2013-06-29,2013,29,24.4,16.5,20.5,0,2013,VANCOUVER INTL A
6,Summer,2013-06-30,2013,30,31.2,15.2,23.2,0,2013,VANCOUVER INTL A
7,Summer,2013-07-01,2013,1,28,17,22.5,0,2013,VANCOUVER INTL A
7,Summer,2013-07-02,2013,2,25.6,15.4,20.5,0,2013,VANCOUVER INTL A
7,Summer,2013-07-03,2013,3,22.1,14.9,18.5,0,2013,VANCOUVER INTL A
7,Summer,2013-07-04,2013,4,20.6,13.1,16.9,0,2013,VANCOUVER INTL A
7,Summer,2013-07-05,2013,5,21.4,12.7,17.1,0,2013,VANCOUVER INTL A
7,Summer,2013-07-06,2013,6,22.3,13.9,18.1,0,2013,VANCOUVER INTL A
7,Summer,2013-07-07,2013,7,21,13.9,17.5,0,2013,VANCOUVER INTL A
7,Summer,2013-07-08,2013,8,21.3,13.7,17.5,0,2013,VANCOUVER INTL A
7,Summer,2013-07-09,2013,9,24,14.2,19.1,0,2013,VANCOUVER INTL A
7,Summer,2013-07-10,2013,10,23.4,14.1,18.8,0,2013,VANCOUVER INTL A
7,Summer,2013-07-11,2013,11,19.8,13.1,16.5,0,2013,VANCOUVER INTL A
7,Summer,2013-07-12,2013,12,20.5,11.4,16,0,2013,VANCOUVER INTL A
7,Summer,2013-07-13,2013,13,21.1,11.6,16.4,0,2013,VANCOUVER INTL A
7,Summer,2013-07-14,2013,14,22.8,11.8,17.3,0,2013,VANCOUVER INTL A
7,Summer,2013-07-15,2013,15,23.8,15.6,19.7,0,2013,VANCOUVER INTL A
7,Summer,2013-07-16,2013,16,24,13.8,18.9,0,2013,VANCOUVER INTL A
7,Summer,2013-07-17,2013,17,23.7,17,20.4,0,2013,VANCOUVER INTL A
7,Summer,2013-07-18,2013,18,22.2,14.6,18.4,0,2013,VANCOUVER INTL A
7,Summer,2013-07-19,2013,19,22.1,14.4,18.3,0,2013,VANCOUVER INTL A
