Month,Season,Date,Year,Day,Max.Temp,Min.Temp,Mean.Temp,Total.Precip,Season.Yr
1,Winter,2019-01-01,2019,1,5.3,0.8,3.1,0,2019
1,Winter,2019-01-02,2019,2,5.5,2.4,4,3.4,2019
1,Winter,2019-01-03,2019,3,9.5,4.5,7,54.8,2019
1,Winter,2019-01-04,2019,4,10.4,6.1,8.3,9.6,2019
1,Winter,2019-01-05,2019,5,8.7,5.3,7,3.2,2019
1,Winter,2019-01-06,2019,6,7.9,3.3,5.6,6.8,2019
1,Winter,2019-01-07,2019,7,5.8,0.5,3.2,0,2019
1,Winter,2019-01-08,2019,8,5.5,-1,2.3,2.4,2019
1,Winter,2019-01-09,2019,9,10.5,3.8,7.2,6.8,2019
1,Winter,2019-01-10,2019,10,11.1,8.2,9.7,3.6,2019
1,Winter,2019-01-11,2019,11,10.2,3.5,6.9,0,2019
1,Winter,2019-01-12,2019,12,11.3,-0.2,5.6,0,2019
1,Winter,2019-01-13,2019,13,8.7,0.8,4.8,0,2019
1,Winter,2019-01-14,2019,14,4.9,-1.9,1.5,0,2019
1,Winter,2019-01-15,2019,15,5.3,-2,1.7,0,2019
1,Winter,2019-01-16,2019,16,7.2,-1.8,2.7,0,2019
1,Winter,2019-01-17,2019,17,10.4,0.1,5.3,12.2,2019
1,Winter,2019-01-18,2019,18,9.8,6.8,8.3,7.4,2019
1,Winter,2019-01-19,2019,19,9.6,4.2,6.9,2,2019
1,Winter,2019-01-20,2019,20,7.3,1.9,4.6,0,2019
1,Winter,2019-01-21,2019,21,7,-1.6,2.7,0,2019
1,Winter,2019-01-22,2019,22,5.7,3.5,4.6,20,2019
1,Winter,2019-01-23,2019,23,6.8,4.5,5.7,6.4,2019
1,Winter,2019-01-24,2019,24,7.3,4.8,6.1,0,2019
1,Winter,2019-01-25,2019,25,7.7,3.8,5.8,0,2019
1,Winter,2019-01-26,2019,26,7.9,4.1,6,0,2019
1,Winter,2019-01-27,2019,27,7.5,0.8,4.2,0.6,2019
1,Winter,2019-01-28,2019,28,7.2,-1.6,2.8,0,2019
1,Winter,2019-01-29,2019,29,7.5,-3,2.3,0,2019
1,Winter,2019-01-30,2019,30,6.2,-0.7,2.8,0,2019
1,Winter,2019-01-31,2019,31,8.5,3.5,6,1.6,2019
2,Winter,2019-02-01,2019,1,8.5,5.5,7,20.8,2019
2,Winter,2019-02-02,2019,2,7.4,2.4,4.9,0,2019
2,Winter,2019-02-03,2019,3,4.2,-4,0.1,0.4,2019
2,Winter,2019-02-04,2019,4,0.7,-6.2,-2.8,0.6,2019
2,Winter,2019-02-05,2019,5,0.5,-8.2,-3.9,0,2019
2,Winter,2019-02-06,2019,6,1.6,-7.3,-2.9,0,2019
2,Winter,2019-02-07,2019,7,2,-5.9,-2,0,2019
2,Winter,2019-02-08,2019,8,1.4,-3.1,-0.9,0.2,2019
2,Winter,2019-02-09,2019,9,4.1,-4.8,-0.4,0,2019
2,Winter,2019-02-10,2019,10,-1.5,-8.8,-5.2,4.8,2019
2,Winter,2019-02-11,2019,11,-1.4,-6.9,-4.2,5.6,2019
2,Winter,2019-02-12,2019,12,-0.9,-3.2,-2.1,6.8,2019
2,Winter,2019-02-13,2019,13,1.6,-4.1,-1.3,2.4,2019
2,Winter,2019-02-14,2019,14,2.3,-8.5,-3.1,6.2,2019
2,Winter,2019-02-15,2019,15,3.5,1.1,2.3,13.4,2019
2,Winter,2019-02-16,2019,16,5.4,-0.6,2.4,0.2,2019
2,Winter,2019-02-17,2019,17,6.3,-0.8,2.8,0,2019
2,Winter,2019-02-18,2019,18,3.7,-1.9,0.9,0,2019
2,Winter,2019-02-19,2019,19,2.8,0.4,1.6,5.2,2019
2,Winter,2019-02-20,2019,20,6.1,-0.2,3,0,2019
2,Winter,2019-02-21,2019,21,6.3,-3.6,1.4,0,2019
2,Winter,2019-02-22,2019,22,5.9,0.9,3.4,6.6,2019
2,Winter,2019-02-23,2019,23,6.8,1.1,4,1.8,2019
2,Winter,2019-02-24,2019,24,6.7,-1.6,2.6,0,2019
2,Winter,2019-02-25,2019,25,5.2,-4.7,0.3,0,2019
2,Winter,2019-02-26,2019,26,6,-6.5,-0.3,0,2019
2,Winter,2019-02-27,2019,27,5.2,-4.1,0.6,0,2019
2,Winter,2019-02-28,2019,28,7.1,-1,3.1,0,2019
3,Spring,2019-03-01,2019,1,6.3,-4.5,0.9,0,2019
3,Spring,2019-03-02,2019,2,6.9,-4.6,1.2,0,2019
3,Spring,2019-03-03,2019,3,6,-0.9,2.6,0,2019
3,Spring,2019-03-04,2019,4,5.4,-4.4,0.5,0,2019
3,Spring,2019-03-05,2019,5,8,-4.3,1.9,0,2019
3,Spring,2019-03-06,2019,6,4.5,-4.7,-0.1,1.2,2019
3,Spring,2019-03-07,2019,7,5,0,2.5,1.2,2019
3,Spring,2019-03-08,2019,8,6.2,-0.1,3.1,0,2019
3,Spring,2019-03-09,2019,9,7,-4.3,1.4,0,2019
3,Spring,2019-03-10,2019,10,7.7,-3.3,2.2,0,2019
3,Spring,2019-03-11,2019,11,7.2,2.1,4.7,13.2,2019
3,Spring,2019-03-12,2019,12,8.6,1.6,5.1,3.8,2019
3,Spring,2019-03-13,2019,13,10.2,2.4,6.3,0,2019
3,Spring,2019-03-14,2019,14,9.9,3.4,6.7,3,2019
3,Spring,2019-03-15,2019,15,12.5,3.8,8.2,0.6,2019
3,Spring,2019-03-16,2019,16,11,2.3,6.7,0,2019
3,Spring,2019-03-17,2019,17,11.9,1.4,6.7,0,2019
3,Spring,2019-03-18,2019,18,14,1.2,7.6,0,2019
3,Spring,2019-03-19,2019,19,15.4,2.9,9.2,0,2019
3,Spring,2019-03-20,2019,20,13.7,1.8,7.8,0,2019
3,Spring,2019-03-21,2019,21,16.7,3.1,9.9,0,2019
3,Spring,2019-03-22,2019,22,17.3,8.4,12.9,0.8,2019
3,Spring,2019-03-23,2019,23,13.4,5.1,9.3,0,2019
3,Spring,2019-03-24,2019,24,10.6,2.8,6.7,0,2019
3,Spring,2019-03-25,2019,25,11.4,3.9,7.7,5,2019
3,Spring,2019-03-26,2019,26,13,6.9,10,2.4,2019
3,Spring,2019-03-27,2019,27,12.3,0.1,6.2,0,2019
3,Spring,2019-03-28,2019,28,14.3,6.2,10.3,0,2019
3,Spring,2019-03-29,2019,29,14.2,3.5,8.9,0,2019
3,Spring,2019-03-30,2019,30,13.7,4,8.9,0,2019
3,Spring,2019-03-31,2019,31,13.9,3.7,8.8,0,2019
4,Spring,2019-04-01,2019,1,14.9,3.2,9.1,0,2019
4,Spring,2019-04-02,2019,2,15.8,2.7,9.3,0,2019
4,Spring,2019-04-03,2019,3,14.6,9.1,11.9,19.6,2019
4,Spring,2019-04-04,2019,4,13.7,8,10.9,0.4,2019
4,Spring,2019-04-05,2019,5,14.6,7.9,11.3,5.6,2019
4,Spring,2019-04-06,2019,6,11.8,7.1,9.5,4.8,2019
4,Spring,2019-04-07,2019,7,14.1,6.8,10.5,4.2,2019
4,Spring,2019-04-08,2019,8,11.4,4.2,7.8,3,2019
4,Spring,2019-04-09,2019,9,13.2,7.3,10.3,0.6,2019
4,Spring,2019-04-10,2019,10,11.8,6.6,9.2,6.2,2019
4,Spring,2019-04-11,2019,11,9.1,6.5,7.8,13,2019
4,Spring,2019-04-12,2019,12,11.4,3.6,7.5,0,2019
4,Spring,2019-04-13,2019,13,11.1,6.9,9,10,2019
4,Spring,2019-04-14,2019,14,10.8,3.6,7.2,0,2019
4,Spring,2019-04-15,2019,15,10.9,3.6,7.3,0,2019
4,Spring,2019-04-16,2019,16,12.3,1.6,7,0.4,2019
4,Spring,2019-04-17,2019,17,15.4,7.5,11.5,1.6,2019
4,Spring,2019-04-18,2019,18,11.6,9.6,10.6,27,2019
4,Spring,2019-04-19,2019,19,13.6,9.6,11.6,1.6,2019
4,Spring,2019-04-20,2019,20,13.6,7.8,10.7,0,2019
4,Spring,2019-04-21,2019,21,14.9,6.2,10.6,0,2019
4,Spring,2019-04-22,2019,22,11.3,8.7,10,12.8,2019
4,Spring,2019-04-23,2019,23,14.3,9.4,11.9,0,2019
4,Spring,2019-04-24,2019,24,12.7,6.1,9.4,0,2019
4,Spring,2019-04-25,2019,25,12.7,1.1,6.9,0,2019
4,Spring,2019-04-26,2019,26,13.1,7.7,10.4,0,2019
4,Spring,2019-04-27,2019,27,12.4,6.5,9.5,0,2019
4,Spring,2019-04-28,2019,28,14.6,1.9,8.3,0,2019
4,Spring,2019-04-29,2019,29,15.9,2.2,9.1,0,2019
4,Spring,2019-04-30,2019,30,15.4,4,9.7,0,2019
5,Spring,2019-05-01,2019,1,16.9,7.6,12.3,0,2019
5,Spring,2019-05-02,2019,2,16.4,7.8,12.1,0,2019
5,Spring,2019-05-03,2019,3,14.8,9.4,12.1,0,2019
5,Spring,2019-05-04,2019,4,16.4,5.3,10.9,0,2019
5,Spring,2019-05-05,2019,5,16.4,6.2,11.3,0,2019
5,Spring,2019-05-06,2019,6,17.4,8.6,13,0,2019
5,Spring,2019-05-07,2019,7,17.1,10.7,13.9,0,2019
5,Spring,2019-05-08,2019,8,17.5,11,14.3,0,2019
5,Spring,2019-05-09,2019,9,21.4,9.9,15.7,0,2019
5,Spring,2019-05-10,2019,10,22.9,9.7,16.3,0,2019
5,Spring,2019-05-11,2019,11,21.4,10.8,16.1,0,2019
5,Spring,2019-05-12,2019,12,16.6,11.2,13.9,0,2019
5,Spring,2019-05-13,2019,13,16.6,8.4,12.5,0,2019
5,Spring,2019-05-14,2019,14,14.8,10.8,12.8,9.4,2019
5,Spring,2019-05-15,2019,15,17.6,10.6,14.1,1.6,2019
5,Spring,2019-05-16,2019,16,17.6,11.7,14.7,0.2,2019
5,Spring,2019-05-17,2019,17,17,11.1,14.1,0,2019
5,Spring,2019-05-18,2019,18,18.2,11.4,14.8,0,2019
5,Spring,2019-05-19,2019,19,21.1,9.3,15.2,0,2019
5,Spring,2019-05-20,2019,20,14.5,10.9,12.7,7,2019
5,Spring,2019-05-21,2019,21,18.4,10,14.2,1.6,2019
5,Spring,2019-05-22,2019,22,20.2,8.7,14.5,0,2019
5,Spring,2019-05-23,2019,23,19.9,9.4,14.7,0,2019
5,Spring,2019-05-24,2019,24,16.4,12,14.2,2,2019
5,Spring,2019-05-25,2019,25,15.1,10.2,12.7,8.6,2019
5,Spring,2019-05-26,2019,26,20.6,7.6,14.1,0,2019
5,Spring,2019-05-27,2019,27,23.9,11.8,17.9,0,2019
5,Spring,2019-05-28,2019,28,19.5,12.4,16,0,2019
5,Spring,2019-05-29,2019,29,19.1,11.4,15.3,0,2019
5,Spring,2019-05-30,2019,30,21.2,9.9,15.6,0,2019
5,Spring,2019-05-31,2019,31,22.2,11.3,16.8,0,2019
6,Summer,2019-06-01,2019,1,21.2,11.1,16.2,0,2019
6,Summer,2019-06-02,2019,2,24.3,13.7,19,0,2019
6,Summer,2019-06-03,2019,3,20.9,10.7,15.8,0,2019
6,Summer,2019-06-04,2019,4,20,9.4,14.7,0,2019
6,Summer,2019-06-05,2019,5,17.2,12.3,14.8,0.6,2019
6,Summer,2019-06-06,2019,6,17.9,7.9,12.9,0,2019
6,Summer,2019-06-07,2019,7,17.6,9.3,13.5,8.8,2019
6,Summer,2019-06-08,2019,8,19.5,9.8,14.7,0,2019
6,Summer,2019-06-09,2019,9,20.1,9.9,15,0,2019
6,Summer,2019-06-10,2019,10,20.6,13.2,16.9,0,2019
6,Summer,2019-06-11,2019,11,23.6,11.2,17.4,0,2019
